kappa,theta,sigma,price_euler1000,ci_euler1000,time_euler1000,price_euler30,ci_euler30,time_euler30,price_exact1000,ci_exact1000,time_exact1000,price_exact30,ci_exact30,time_exact30,price_ae1000,ci_ae1000,time_ae1000,price_ae30,ci_ae30,time_ae30
2.000,0.050,1.000,0.099006,0.001104,5.422,0.106389,0.001141,0.209,0.095012,0.001100,476.139,0.095009,0.001110,13.574,0.095268,0.001133,480.317,0.094708,0.001073,13.113
2.000,0.100,0.100,0.125701,0.000885,5.231,0.126038,0.000882,0.195,0.125652,0.000884,223.816,0.126356,0.000890,17.025,0.126734,0.000893,227.963,0.125276,0.000883,17.357
2.000,0.100,0.300,0.125813,0.000967,5.272,0.125094,0.000951,0.197,0.133465,0.001007,629.155,0.125920,0.000967,13.372,0.132972,0.000999,623.866,0.124350,0.000951,13.285
2.000,0.100,0.500,0.124178,0.001054,4.938,0.123992,0.001029,0.193,0.128156,0.001082,525.561,0.124886,0.001052,3.924,0.128543,0.001077,520.125,0.123184,0.001037,3.969
2.000,0.100,0.700,0.120766,0.001132,4.962,0.125004,0.001140,0.196,0.123330,0.001177,506.810,0.120870,0.001133,11.887,0.123837,0.001172,502.911,0.121410,0.001129,11.290
2.000,0.100,1.000,0.118889,0.001323,5.215,0.124528,0.001287,0.215,0.117394,0.001286,500.514,0.114904,0.001269,13.532,0.118038,0.001305,502.644,0.115288,0.001277,13.068
2.000,0.200,0.100,0.158245,0.001171,5.118,0.159765,0.001161,0.195,0.158459,0.001172,226.454,0.156974,0.001157,16.953,0.156752,0.001155,228.663,0.148730,0.001123,17.369
2.000,0.200,0.300,0.156030,0.001230,5.263,0.157624,0.001225,0.198,0.164407,0.001279,656.732,0.157105,0.001250,15.233,0.163109,0.001264,652.685,0.153528,0.001217,15.241
2.000,0.200,0.500,0.157258,0.001345,4.933,0.156970,0.001303,0.186,0.163800,0.001375,538.970,0.156155,0.001324,7.221,0.165603,0.001397,535.595,0.155089,0.001327,7.231
2.000,0.200,0.700,0.154725,0.001443,4.942,0.154984,0.001404,0.196,0.159539,0.001510,524.501,0.155652,0.001420,4.484,0.157541,0.001459,518.447,0.151576,0.001404,4.355
2.000,0.200,1.000,0.151904,0.001619,4.968,0.155811,0.001610,0.199,0.153474,0.001691,501.527,0.151456,0.001620,13.076,0.155300,0.001693,505.892,0.149807,0.001574,12.361
2.000,0.500,0.100,0.225730,0.001863,5.045,0.227555,0.001852,0.192,0.225251,0.001862,226.515,0.227651,0.001878,17.249,0.226874,0.001896,229.903,0.191836,0.001694,17.543
2.000,0.500,0.300,0.226591,0.001973,5.377,0.227374,0.001935,0.203,0.227225,0.001971,326.849,0.225585,0.001979,15.898,0.228417,0.002005,324.897,0.212058,0.001881,15.838
2.000,0.500,0.500,0.225968,0.002122,5.022,0.227462,0.002062,0.188,0.238600,0.002153,637.076,0.226605,0.002110,12.454,0.238703,0.002174,634.372,0.215576,0.002012,12.521
2.000,0.500,0.700,0.226059,0.002250,4.944,0.228749,0.002180,0.188,0.239266,0.002354,551.445,0.224836,0.002219,7.493,0.238411,0.002319,546.034,0.218175,0.002186,7.533
2.000,0.500,1.000,0.225565,0.002560,4.936,0.227257,0.002425,0.192,0.229835,0.002528,523.395,0.224325,0.002476,4.498,0.232876,0.002608,520.857,0.219180,0.002385,4.315
5.000,0.050,0.100,0.097673,0.000652,4.942,0.098068,0.000647,0.191,0.097337,0.000649,226.913,0.097570,0.000652,17.099,0.097764,0.000650,230.419,0.110017,0.000696,17.648
5.000,0.050,0.300,0.098401,0.000691,5.487,0.097730,0.000686,0.207,0.100976,0.000704,525.002,0.097536,0.000688,5.231,0.102264,0.000707,520.321,0.101435,0.000700,5.347
5.000,0.050,0.500,0.096388,0.000722,4.949,0.097487,0.000724,0.196,0.097783,0.000736,524.487,0.097175,0.000731,4.428,0.098221,0.000733,516.106,0.098757,0.000729,4.324
5.000,0.050,0.700,0.095610,0.000763,4.964,0.097682,0.000772,0.205,0.096084,0.000762,498.567,0.095747,0.000770,4.486,0.097219,0.000776,497.655,0.097039,0.000767,4.270
